id,claim,label,evidence
1255,Active compound in wp1122 increased in vitro replication of sars-cov-2 by 100 %,REFUTED,['WP1122 is referred to as a prodrug of 2-DG whereby chemical elements are added to 2-DG to improve its delivery in vivo.']
627,Cetylpyridinium chloride-containing mouthwashes with in vitro sars-cov-2 infectivity.,REFUTED,"['A common compound in mouthwashes found to inhibit SARS-CoV-2 in vitro.', 'CPC- containing mouth rinses could represent a cost-effective measure to reduce SARS-CoV-2 infectivity in saliva, aiding to reduce viral transmission from infected individuals.', 'Here we show that Cetylpyridinium chloride (CPC), a quaternary ammonium compound present in many oral mouthwashes, reduces SARS-CoV-2 infectivity by inhibiting viral fusion with target cells.', '""A common compound in mouthwashes found to inhibit SARS- CoV-2 in vitro"".', 'Antiviral activity of CPC-containing mouthwashes inhibiting SARS-CoV-2 entry.']"
3702,An engineered stable mini-genome to plug sars-cov2 spikes,REFUTED,"['Therefore, molecular entities able to interfere with binding of the SARS-CoV-2 Spike protein to ACE2 have a great potential to inhibit viral entry.', 'Starting from the available structural data on the interaction between SARS-CoV-2 Spike protein and the host ACE2 receptor, we here engineered a mini-protein with the aim of creating a soluble and stable Spike interactor.', 'By plugging the Spike protein, our mini-protein constitutes a valid tool for the development of treatments against different types of coronavirus.', 'This mini-protein, which was recombinantly produced in high yields, possesses a stable α helical conformation and is able to interact with the RBD of glycosylated Spike protein from SARS-CoV-2 with nanomolar affinity, as measured by microscale thermophoresis.', 'Like other coronaviruses, this novel virus relies on the surface Spike glycoprotein to access the host cells, mainly through the interaction of its Receptor Binding Domain (RBD) with the human angiotensin- converting enzyme 2 (ACE2).']"
4075,The insert sequence in sars-cov-2 enhances spike protein cleavage by tmprss,SUPPORTED,"['Thus, both the furin score and molecular docking revealed that the insertion sequence of SARS-CoV-2 facilitates the TMPRSS2 recognition and S protein cleavage.', 'The two potential Spike protein cleavage sites of SARS-CoV and SARS- CoV-2 by TMPRSS2.', 'We speculated that R682, R683 and R685 (red box) could be used as the most suitable substrates for TMPRSSs, which can increase the Spike protein cleavage efficiency of TMPRSSs, promote its activation and enhance SARS-CoV-2 infection.']"
2023,"Damage to multiple countries presents in young, low risk patients",REFUTED,"['Measures of inflammation in the kidneys and pancreas, and ectopic fat in the pancreas and liver, were also higher in hospitalised individuals (P<0.05).', 'Multi-organ impairment in low-risk individuals with long COVID.', 'There was evidence of mild organ impairment in the heart (32% of patients), lungs (33%), kidneys (12%), liver (10%), pancreas (17%), and spleen (6%).', 'The BMJ Young, low risk patients with ongoing symptoms of covid-19 had signs of damage to multiple organs four months after initially being infected, a preprint study has suggested.1 Initial data from 201 patients suggest that almost 70% had impairments in one or more organs four months after their initial symptoms of SARS-CoV-2 infection.']"
701,Who releases covid-19 community mobility reports in an effort to show local movement trends during pandemic,REFUTED,"['The reports consist of per country, or per state, downloads (with 131 countries covered initially), further broken down into regions/counties -- with Google offering an analysis of how community mobility has changed vs a baseline average before COVID-19 arrived to change everything.', 'In response to feedback from public health officials that data could be helpful for making critical decisions to combat COVID-19, Google has published an early release of COVID-19 Community Mobility Reports.', 'The COVID-19 Community Mobility Reports web site will show population data trends of six categories: Retail and recreation, grocery and pharmacy, parks, transit stations, workplaces, and residential.']"
2838,Mutant coronavirus in the united kingdom sets off alarms but its importance remains unclear.,SUPPORTED,"['Since the novel coronavirus was first discovered in China, it has undergone many mutations but WHO experts say such changes are to be expected and that they have not been so extreme as to make vaccines being developed against it ineffective.', '(AP Photo/Kirsty Wigglesworth via CN) (CN)  A potentially dangerous mutation of the novel coronavirus found to be spreading rapidly in the United Kingdom is causing alarm across Europe and prompting countries to close off travel with Britain.', 'Drosten notes that the new mutant also carries a deletion in another viral gene, ORF8, that previous studies suggest might reduce the virus ability to spread.', 'On Saturday, the U.K. imposed strict lockdown measures to stop the spread of a new variant of the virus that British Prime Minister Boris Johnson said is much more transmissible, though he said there was no evidence it was more lethal or more resistant to vaccines.']"
1604,A bat coronavirus evolves antigenically to escape antibody immunity.,REFUTED,"['Upon infection, an individuals immune state, possibly impacted by pre-existing antibodies to other coronaviruses (among other mechanisms), may cause harm through immunopathogenesis, and the literature on this topic primarily consists of in vitro experiments.', 'Antibody against nucleocapsid protein predicts susceptibility to human coronavirus infection.']"
1530,The university of liverpool have received an online database for checking drug-drug interactions with the experimental covid-19 specific medicinal products,REFUTED,"['According to the Liverpool data, some of the riskiest drug-drug interactions are between experimental Covid-19 treatments and heart-related medications, including antiarrhythmics, beta blockers, anti-coagulants, calcium channel blockers, some hypertensives, and lipid-lowering statins.', 'On the other hand, the Liverpool interactions group has provided prescribing resources where they categorized the interactions of experimental COVID-19 antiviral therapies as contraindicated medications, potential interactions requiring dose adjustment/close monitoring, potential interactions of weak intensity or no clinically significant interactions (University of Liverpool, 2020).']"
1721,Effectiveness of cloth masks depends on cost of covering,REFUTED,"['Adequate distancing is something that must not be ignored, since masks are not foolproof, Simha said.']"
67,Sars-cov-2 in-vitro neutralization assay reveals inhibition of virus entry by iota-carrageenan,SUPPORTED,"['In vitro data on iota-carrageenan against various Rhino- and Coronaviruses showed similar IC50 values and translated readily into clinical effectiveness when a nasal spray containing iota-carrageenan demonstrated a reduction in severity and duration of symptoms of common cold caused by various respiratory viruses.', 'Accordingly, our in vitro data on SSPL suggest that administration of iota-carrageenan may be an effective and safe prophylaxis or treatment for SARS-CoV-2 infections.']"
879,Dana-farber to test blood cancer drug in covid-19 patients,SUPPORTED,['Dana-Farber will collaborate with the study sponsor to carry out corollary studies to understand how the immune system functions in COVID-19 patients and how the addition of BTK-inhibitors can stop immune over-activity in response to the virus.']
3015,Covid-19 induces a hyperactive phenotype in circulating platelets,SUPPORTED,"['Circulating levels of PF4, sP-selectin levels and TPO are significantly elevated in COVID-19.', 'Moreover, we have determined that COVID-19 patients possess hyperactive circulating platelets.', 'Strikingly, agonist-induced ADP release was dramatically higher in COVID-19 patients compared with non-COVID-19 hospitalized patients and circulating levels of PF4, sP-selectin and TPO were also significantly elevated in COVID-19.']"
2303,Doctors say cdc should warn people the side effects from covid vaccine shots tot be a walk in the park,REFUTED,"['""We really need to make patients aware that this is not going to be a walk in the park,"" Fryhofer said during a virtual meeting with the Advisory Committee on Immunization Practices, or ACIP, an outside group of medical experts that advise the CDC.']"
1317,Sars-cov-2 infection of african green cat results in mild respiratory disease discernible by pet/ct imaging and prolonged shedding of infectious virus from both respiratory and gastrointestinal tracts,REFUTED,"['Infectious virus was shed from both respiratory and gastrointestinal (GI) tracts in all animals in a biphasic manner, first between 2-7 dpi followed by a recrudescence at 14-21 dpi.', 'Infection of African green monkeys (AGM) with a low passage human isolate of SARS-CoV-2 by aerosol or mucosal exposure resulted in mild clinical infection with a transient decrease in lung tidal volume.', 'One Sentence Summary Subclinical infection of African green monkeys infected with SARS-CoV-2 results in prolonged shedding of infectious virus from both respiratory and gastrointestinal tracts.']"
890,Amplicon contamination in human masquerades as covid19 in surveillance tests,REFUTED,['Minimizing instances of amplicon contamination and developing protocols for handling suspected cases are critical to propel research efforts and to avoid diverting university and healthcare resources from patients with COVID-19.']
2939,"Differences in delirium, rare brain inflammation and stroke linked to covid-19",REFUTED,"['This paper also confirms the previously reported findings of a higher than expected number of patients with stroke which results from the excessive stickiness of the blood in COVID-19 patients.', 'Joint first author Dr Rachel Brown (UCL Queen Square Institute of Neurology and UCL Infection & Immunity) said: ""Our study advances understanding of the different ways in which Covid-19 can affect the brain, which will be paramount in the collective effort to support and manage patients in their treatment and recovery.""', 'Some patients in the study did not experience severe respiratory symptoms, and the neurological disorder was the first and main presentation of Covid-19.']"
1753,Real-world data suggest antibody positivity to sars-cov-2 is associated with a higher risk of future infection.,REFUTED,"['This finding suggests that people who have a positive antibody test result using widely available assays have substantial immunity to SARS-CoV-2 and are at lower risk for future infection.', 'Neutralizing antibodies correlate with protection from SARS-CoV-2 in humans during a fishery vessel outbreak with high attack rate.']"
4007,Melatonin is not associated with survival of intubated covid-19 patients,REFUTED,"['Additionally, melatonin exposure after intubation was statically associated with a positive outcome in COVID-19 patients (demographics and comorbidities adjusted HR: 0.127, 95% CI: 6.01E-02 - 0.269, p-value = 7.15E-08).', 'Conclusions Melatonin exposure after intubation is significantly associated with a positive outcome in COVID-19 and non-COVID-19 patients.', 'Melatonin exposure after intubation was statistically associated with a positive outcome in COVID-19 (demographics and comorbidities adjusted HR: 0.131, 95% CI: 7.76E-02 - 0.223, p-value = 8.19E-14) and non-COVID-19 (demographics and comorbidities adjusted HR: 0.278, 95% CI: 0.142 - 0.542, p-value = 1.72E-04) intubated patients.', 'Additionally, melatonin exposure after intubation is significantly associated with a positive outcome in COVID-19 patients requiring mechanical ventilation.']"
1716,Belief in covid-19 conspiracy theories include social distancing over time,REFUTED,"['PMID: 33225745 Cultural orientation, power, belief in conspiracy theories, and intentions to reduce the spread of COVID-19.', 'Keywords: COVID-19; conspiracy theories; longitudinal; social distancing.', 'Conclusions: Our findings show that COVID-19 conspiracy theories pose a significant threat to public health as they may reduce adherence to social distancing measures.', 'Results: Multivariate growth curve analyses showed that, although conspiracy beliefs decreased and social distancing increased over time, people holding more conspiracy beliefs at the beginning of the pandemic showed the lowest increase in social distancing.', 'Moreover, cross-lagged analyses demonstrated that people who reported more conspiracy beliefs at any wave tended to report less social distancing at the following wave.']"
3308,Sars-cov-2 orf3b is a potent interferon antagonist whose activity is further increased by a naturally occurring elongation variant,SUPPORTED,"['Interestingly, extension of SARS-CoV2 ORF3b by removal of a premature stop codon enhances its ability to antagonise IFN-β induction.', 'Finally, SARS-CoV2 isolates from two severe COVID-19 cases were shown to express the extended ORF3b which shows increased IFN-β antagonism.', 'A natural elongation variant of SARS-CoV-2 ORF3b isolated from two patients showed a stronger suppression of interferon induction than wildtype SARS-CoV-2 ORF3b.', 'They find the truncated ORF3b encoded by SARS-CoV-2 (22 aa) suppresses IFN-β induction more efficiently than the full-length SARS-CoV ortholog (~153 aa).']"
3684,Gi symptoms cannot be common in patients with covid-19,REFUTED,"['Digestive symptoms are common among patients with COVID-19.', 'However, people with COVID-19 have reported many other symptoms, including digestive ones.', 'Another noteworthy finding is that there may be prognostic implications associated with GI symptoms.']"
2508,Lilly requires comprehensive update on progress of sars-cov-2 neutralizing antibody programs,REFUTED,"['Lilly has successfully completed a Phase 1 study (NCT04441931) of LY-CoV016 in healthy U.S. volunteers to evaluate the safety, tolerability, pharmacokinetics and immunogenicity.']"
1971,Sars-cov-2 epidemic after social and economic reopening in two us states reveals shifts in age structure and clinical characteristics,REFUTED,"['Using a Bayesian inference framework on eleven daily data streams and flexible daily population contact parameters, we show that population-average mixing rates dropped by >50% during the lockdown period in March/April, and that the correlation between overall population mobility and transmission-capable mobility was broken in May as these states partially re-opened.', 'Infection fatality rates (IFR) estimates are higher in our analysis (>2%) than previously reported values, likely resulting from the epidemics in these three states affecting the most vulnerable sub-populations, especially the most vulnerable of the 80 age group.', 'A second key question to follow during this time was whether clinical characteristics of the epidemic would improve after the initial surge of cases.']"
3518,"Behavioral changes before lockdown, and daily retail and recreation mobility during lockdown, contributed most to the successful control of the covid-19 epidemic in 35 western countries",REFUTED,"['One third of the effect happened already on average 6 days before the lockdown, with lockdown itself causing another major drop in transmission.', 'During lockdown, decreased mobility in retail and recreation was an independent predictor of lower R t during lockdown, while changes in other types of mobility were not.', 'Our data suggest measures that will contribute to avoiding a second peak include a tight control on circumstances that facilitate massive spread such as large gatherings especially indoors, physical distancing, and mask use.']"
4032,People are being unable to put up christmas lights to spread cheer while they're social distancing.,REFUTED,['People around the country are putting up their Christmas lights and encouraging others to do the same.']
1002,Il-6 expression could be key to covid-19,REFUTED,"['If it is possible to block the signal transduction pathway of IL-6, it is expected to become a new method for the treatment of severe COVID-19 patients.', 'Tocilizumab is an IL-6 receptor (IL-6R) blocker that can effectively block the IL-6 signal transduction pathway and thus is likely to become an effective drug for patients with severe COVID-19.']"
3007,Oxford covid-19 vaccine against human trial stage,REFUTED,"['The main focus of the study is to find out if this vaccine is going to work against COVID-19, if it wont cause unacceptable side effects and if it induces good immune responses.', '"">Video of Human trial of new COVID-19 vaccine begins The Oxford Vaccine Centre COVID-19 Phase I Clinical Trial Explained The study is to test a new vaccine against COVID-19 in healthy volunteers.', 'To ensure you have the latest information or to find out more about the trial, please visit theOxford COVID-19 vaccine web hub or visit the COVID-19 trial website .']"
2423,Government bureau to examine covid antibody obtainment system as suggestions finished,SUPPORTED,['We need to make game plans to get the antibody at the soonest.']
1036,"Two percent of regular icu beds in texas medical center occupied, but hospitals have space for surge",REFUTED,"[""Abbott pauses reopening The average ICU occupancy rate at the world's largest medical center is 70 to 80 percent, but higher rates aren't unheard of."", ""Hospitals in Houston's Medical Center will now move some ICU patients to beds not normally used for critical care.""]"
2469,Side by side comparison of three fully automated sars-cov-2 antibody assays with a focus on specificity,SUPPORTED,"['Therefore, we compared three commercial, CE-marked, SARS-CoV-2 antibody assays side by side.', ""Although the three methods were in good agreement (Cohen's Kappa 0.71-0.87), McNemar tests revealed significant differences between results obtained from Roche and DiaSorin.""]"
1319,Sars-cov-2 infection of african green rats results in mild respiratory disease discernible by pet/ct imaging and prolonged shedding of infectious virus from both respiratory and gastrointestinal tracts,REFUTED,"['Infectious virus was shed from both respiratory and gastrointestinal (GI) tracts in all animals in a biphasic manner, first between 2-7 dpi followed by a recrudescence at 14-21 dpi.', 'Infection of African green monkeys (AGM) with a low passage human isolate of SARS-CoV-2 by aerosol or mucosal exposure resulted in mild clinical infection with a transient decrease in lung tidal volume.', 'One Sentence Summary Subclinical infection of African green monkeys infected with SARS-CoV-2 results in prolonged shedding of infectious virus from both respiratory and gastrointestinal tracts.']"
2329,Chemists discover the structure of a key coronavirus protein,SUPPORTED,"['To determine its structure, the researchers embedded it into a lipid bilayer, similar to a cell membrane, and then analyzed it with NMR, which uses the magnetic properties of atomic nuclei to reveal the structures of the molecules containing those nuclei.']"
1864,"Crispr-based covid test is rapid, accurate and costs greater than $ 1",REFUTED,"['Recent studies have indicated CRISPR tools have the potential for in vitro diagnostics, something Chinese scientists have leveraged to develop a 100% accurate COVID-19 test that can be mass manufactured for 70 cents.', 'With two targets in hand, the team took advantage of the sensitivity of CRISPR/Cas--specifically the programmability of CRISPR/Cas13a--to create an isothermal-based assay that eliminates the need for sophisticated analytical instruments.']"
3858,National health regulatory agency approves trial of oxford covid-19 vaccine,REFUTED,"['We are delighted to be working with the talented team of investigators in Brazil on the COVID19 vaccine trial, as researchers and scientists around the world collaborate on clinical development work with unprecedented urgency to combat the global threat to human health that is coronavirus. Says Professor Andrew Pollard, Chief investigator of the Oxford Vaccine Trial at Oxford University.', 'Brazil is a priority for the study because of the ascendant curve of the COVID-19.', 'On 2 June, the Brazilian Health Regulatory Agency (ANVISA) approved the inclusion of Brazil in the clinical trials conducted by Oxford University and supported by AstraZeneca, considering 2,000 volunteers to be tested in the country.']"
3579,Confronting the notion that face masks reduce covid 'dose ',SUPPORTED,"['""Certainly, masks could probably block larger droplets, and that kind of gets into the area of the whole droplet-versus-aerosols debate,"" she said.', '""They are putting people at risk by suggesting that that \'it\'ll be fine, you\'ll wear your face covering, and you\'ll get a low dose,\'"" she said.']"
3106,Bacterial modification of the receptor glycosaminoglycan heparan sulfate modulates sars-cov-2 infectivity,REFUTED,"['In vitro , bacterial glycosidases from unpurified culture media supernatants fully blocked SARS-CoV-2 spike binding to human H1299 protein lung adenocarcinoma cells.', 'Understanding the impact of shifts in microbial community composition and bacterial lyases on SARS-CoV-2 infection may lead to new therapeutics and diagnosis of susceptibility.']"
1174,Reappearance of effector t cells predicts successful recovery from covid-19,SUPPORTED,"['Understanding T cell-responses in the context of clinical severity might serve as foundation to overcome the lack of effective anti-viral immune response in severely affected COVID-19 patients and can offer prognostic value as biomarker for disease outcome and control.', 'Follow up samples revealed a marked increase in effector T cells and memory subsets in convalescing but not in non-convalescing patients.']"
1343,Nyc map shows patients testing positive for coronavirus,SUPPORTED,"['Data scientist Michael Donnelly, whos been crunching the citys coronavirus numbers since the start of the outbreak, noted the new map tracks with earlier MTA turnstile data.', 'Wealthier parts of the city, including much of Manhattan, waterfront sections of Queens and brownstone Brooklyn, have the fewest number of coronavirus cases, according to the map released by the city Department of Health.']"
2331,Post-covid syndrome severely damages children 's hearts ; immense inflammation causing cardiac blood vessel dilation,SUPPORTED,"['For instance, troponin, the marker used in adults to diagnose heart attacks, was 50 times its normal level in children with MIS-C. ""Evidence suggests that children with MIS-C have immense inflammation and potential tissue injury to the heart, and we will need to follow these children closely to understand what implications they may have in the long term,"" Dr. Moreira said.', 'Source: University of Texas Health Science Center at San Antonio Multisystem inflammatory syndrome in children (MIS-C), believed to be linked to COVID-19, damages the heart to such an extent that some children will need lifelong monitoring and interventions, said the senior author of a medical literature review published Sept. 4 in EClinicalMedicine.', '""Almost 90 per cent of the children (581) underwent an echocardiogram because they had such a significant cardiac manifestation of the disease,"" Moreira said.', 'Citing an example of this abnormality, they said, the molecular marker troponin used in adults to diagnose heart attacks, was 50 times its normal level in children with MIS-C. ""Evidence suggests that children with MIS-C have immense inflammation and potential tissue injury to the heart, and we will need to follow these children closely to understand what implications they may have in the long term,"" Moreira said.']"
1828,Enhanced ifns-cov-2 neutralization by secretory iga in vitro,REFUTED,"['Thus, secretory IgA responses may be particularly valuable for protection against SARS-CoV-2 and for vaccine efficacy.']"
2667,"Sars-cov-2 spike proteins disrupt the blood-brain barrier, potentially reducing risk of neurological damage in covid-19 patients",REFUTED,"['The study, published in the December print issue of the journal Neurobiology of Disease, is the first to show that SARS-CoV-2 spike proteins can cause this barrier to become leaky, potentially disrupting the delicate neural networks within the brain.', 'Our findings support the implication that SARS-CoV-2, or its shed spike proteins circulating in the blood stream, could cause destabilization of the blood-brain barrier in key brain regions, Dr. Ramirez said.', ""Moreover, as Dr. Buzhdygan explained, the brain vasculature is extremely branched, so even a small amount of neuroinflammation can be very damaging. Based on the team's observations of ACE2 expression in the brain, this neurological damage could be extensive in COVID-19 patients with pre-existing health conditions in which the vasculature has already suffered some amount of injury.""]"
983,Indiana bans all non-essential gatherings over 10 people,REFUTED,"['Eric Holcomb has announced additional steps the state will take to reduce the spread of novel coronavirus, or COVID-19 in Indiana, including limiting non-essential gatherings to no more than 250 people.', 'Starting immediately - all non-essential gatherings are limited to fewer than 250 people.', 'The state of Indiana has banned non-essential gatherings of more than 250 people, Gov.', 'Non-essential gatherings must be limited to no more than 250 people.']"
3394,Lockdown related travel behavior undermines the containment of sars-cov-2,SUPPORTED,"['Appropriate messaging surrounding the announcement of lockdowns and measures to decrease unnecessary travel are important for preventing these unintended consequences of lockdowns.', 'We find that travel surges following announcements of lockdowns can increase seeding of the epidemic in rural areas, undermining the goal of the lockdown of preventing disease spread.']"
2616,Fda hes gilead's remdesivir as coronavirus treatment,REFUTED,"[""FDA approves Gilead's Remdesivir as a coronavirus treatment - YouTube AboutPressCopyrightContact usCreatorsAdvertiseDevelopersTermsPrivacyPolicy & SafetyHow YouTube worksTest new features (C) 2021 Google LLC [DOI]: Digital Object Identifier [ISSN]: International Standard Serial Number [.""]"
